KEYWORD_ID,KEYWORD
1395,Deliver front building
1396,bulky drywall
1397,roll-up door access
1398,Lawn
1399,East side warehouse
1400,assess parking/access
1401,Rear entrance
1402,Yard obstructions: trucks
1403,avoid driveway
1404,backyard; clear access.
1405,6:30 AM-3:00 PM
1406,garage
1407,Handle large items carefully.
1408,allow 40 minutes unloading
1409,Backyard alleyway
1410,Back door Suite 110
1411,Garage 33 or 34
1412,Derby Road
1413,tight parking
1414,handle bags carefully.
1415,Deliver 6 AM - 3 PM
1416,Porch
1417,no signature
1418,protect packaging
1419,Garage left side
1420,drop waiver.
1421,Drywall
1422,Customer unload
1423,ample space.
1424,side
1425,Handle packages carefully
1426,drive on grass if needed
1427,High refusal risk
1428,gated community
1429,confirm details.
1430,multiple deliveries
1431,8 pallets
1432,IL 60538
1433,Verify items
1434,4:30 PM delivery
1435,Large deliveries: 151 N Lower Beaubien; smaller: 151 N Michigan Ave.  Confirm order ready.
1436,verify street parking
1437,Deliver package inside building
1438,Confirm lot number
1439,inside hedge
1440,orange marker
1441,Garage delivery.
1442,before 5:00 AM
1443,restricted access
1444,foundation.
1445,road access
1446,Space D344
1447,use loading dock
1448,cul-de-sac.
1449,clarify warehouse/dock
1450,Joliet.  Drywall risk.
1451,before 2 PM
1452,secured gate.
1453,Curbside delivery acceptable.
1454,Delivery delay
1455,clarify LUI 1935
1456,restricted access.
1457,Green work/storage building
1458,Garage/overhead door
1459,Diego
1460,call 630-484-4911
1461,drive on grass
1462,text 8159930933
1463,7 AM-5 PM delivery
1464,Unattended delivery prohibited
1465,Sidewalk delivery
1466,Porta-pottie
1467,customer unload 40 minutes
1468,Greenwood curbside delivery
1469,contact Randy
1470,Home Depot #8918
1471,limited front access
1472,driveway top.
